,runs,prompt,metric_name,dataset_name,score,step
66,xxl-lm-d4-091621-512,_GPT_3_Style,accuracy (Rank),super_glue_wsc.fixed,60.57692337036133,1112200
67,xxl-lm-d4-091621-512,_I_think_they_mean,accuracy (Rank),super_glue_wsc.fixed,69.23076629638672,1112200
68,xxl-lm-d4-091621-512,_Who_is_are,accuracy (Rank),super_glue_wsc.fixed,65.38461303710939,1112200
69,xxl-lm-d4-091621-512,_Who_or_what_is_are,accuracy (Rank),super_glue_wsc.fixed,66.34615325927734,1112200
70,xxl-lm-d4-091621-512,_by_p_they_mean,accuracy (Rank),super_glue_wsc.fixed,60.57692337036133,1112200
71,xxl-lm-d4-091621-512,_does_p_stand_for,accuracy (Rank),super_glue_wsc.fixed,64.42308044433594,1112200
72,xxl-lm-d4-091621-512,_does_the_pronoun_refer_to,accuracy (Rank),super_glue_wsc.fixed,64.42308044433594,1112200
73,xxl-lm-d4-091621-512,_in_other_words,accuracy (Rank),super_glue_wsc.fixed,67.30769348144531,1112200
74,xxl-lm-d4-091621-512,_p_is_are_r,accuracy (Rank),super_glue_wsc.fixed,49.03845977783203,1112200
75,xxl-lm-d4-091621-512,_replaced_with,accuracy (Rank),super_glue_wsc.fixed,50.96154022216797,1112200
76,xxl-lm-d4-091621-512,_the_pronoun_refers_to,accuracy (Rank),super_glue_wsc.fixed,57.69230651855469,1112200
77,xxl-lm-d4-gpt-091621,_GPT_3_Style,accuracy (Rank),super_glue_wsc.fixed,66.34615325927734,1112200
78,xxl-lm-d4-gpt-091621,_I_think_they_mean,accuracy (Rank),super_glue_wsc.fixed,63.46154022216797,1112200
79,xxl-lm-d4-gpt-091621,_Who_is_are,accuracy (Rank),super_glue_wsc.fixed,56.73077011108398,1112200
80,xxl-lm-d4-gpt-091621,_Who_or_what_is_are,accuracy (Rank),super_glue_wsc.fixed,58.653846740722656,1112200
81,xxl-lm-d4-gpt-091621,_by_p_they_mean,accuracy (Rank),super_glue_wsc.fixed,64.42308044433594,1112200
82,xxl-lm-d4-gpt-091621,_does_p_stand_for,accuracy (Rank),super_glue_wsc.fixed,64.42308044433594,1112200
83,xxl-lm-d4-gpt-091621,_does_the_pronoun_refer_to,accuracy (Rank),super_glue_wsc.fixed,67.30769348144531,1112200
84,xxl-lm-d4-gpt-091621,_in_other_words,accuracy (Rank),super_glue_wsc.fixed,67.30769348144531,1112200
85,xxl-lm-d4-gpt-091621,_p_is_are_r,accuracy (Rank),super_glue_wsc.fixed,49.03845977783203,1112200
86,xxl-lm-d4-gpt-091621,_replaced_with,accuracy (Rank),super_glue_wsc.fixed,66.34615325927734,1112200
87,xxl-lm-d4-gpt-091621,_the_pronoun_refers_to,accuracy (Rank),super_glue_wsc.fixed,60.57692337036133,1112200
88,xxl-lm-d4-all-091621,_GPT_3_Style,accuracy (Rank),super_glue_wsc.fixed,69.23076629638672,1112000
89,xxl-lm-d4-all-091621,_I_think_they_mean,accuracy (Rank),super_glue_wsc.fixed,70.19230651855469,1112000
90,xxl-lm-d4-all-091621,_Who_is_are,accuracy (Rank),super_glue_wsc.fixed,,1112000
91,xxl-lm-d4-all-091621,_Who_or_what_is_are,accuracy (Rank),super_glue_wsc.fixed,73.07691955566406,1112000
92,xxl-lm-d4-all-091621,_by_p_they_mean,accuracy (Rank),super_glue_wsc.fixed,73.07691955566406,1112000
93,xxl-lm-d4-all-091621,_does_p_stand_for,accuracy (Rank),super_glue_wsc.fixed,68.26923370361328,1112000
94,xxl-lm-d4-all-091621,_does_the_pronoun_refer_to,accuracy (Rank),super_glue_wsc.fixed,73.07691955566406,1112000
95,xxl-lm-d4-all-091621,_in_other_words,accuracy (Rank),super_glue_wsc.fixed,74.03845977783203,1112000
96,xxl-lm-d4-all-091621,_p_is_are_r,accuracy (Rank),super_glue_wsc.fixed,66.34615325927734,1112000
97,xxl-lm-d4-all-091621,_replaced_with,accuracy (Rank),super_glue_wsc.fixed,68.26923370361328,1112000
98,xxl-lm-d4-all-091621,_the_pronoun_refers_to,accuracy (Rank),super_glue_wsc.fixed,67.30769348144531,1112000
99,xxl-lm-d4-og-091621,_GPT_3_Style,accuracy (Rank),super_glue_wsc.fixed,,1112000
100,xxl-lm-d4-og-091621,_I_think_they_mean,accuracy (Rank),super_glue_wsc.fixed,60.57692337036133,1112000
101,xxl-lm-d4-og-091621,_Who_is_are,accuracy (Rank),super_glue_wsc.fixed,,1112000
102,xxl-lm-d4-og-091621,_Who_or_what_is_are,accuracy (Rank),super_glue_wsc.fixed,61.53845977783203,1112000
103,xxl-lm-d4-og-091621,_by_p_they_mean,accuracy (Rank),super_glue_wsc.fixed,55.76922988891602,1112000
104,xxl-lm-d4-og-091621,_does_p_stand_for,accuracy (Rank),super_glue_wsc.fixed,56.73077011108398,1112000
105,xxl-lm-d4-og-091621,_does_the_pronoun_refer_to,accuracy (Rank),super_glue_wsc.fixed,54.80769348144531,1112000
106,xxl-lm-d4-og-091621,_in_other_words,accuracy (Rank),super_glue_wsc.fixed,36.53845977783203,1112000
107,xxl-lm-d4-og-091621,_p_is_are_r,accuracy (Rank),super_glue_wsc.fixed,,1112000
108,xxl-lm-d4-og-091621,_replaced_with,accuracy (Rank),super_glue_wsc.fixed,56.73077011108398,1112000
109,xxl-lm-d4-og-091621,_the_pronoun_refers_to,accuracy (Rank),super_glue_wsc.fixed,36.53845977783203,1112000
110,xxl-lm-d4-all-og-091621,_GPT_3_Style,accuracy (Rank),super_glue_wsc.fixed,62.5,1112000
111,xxl-lm-d4-all-og-091621,_I_think_they_mean,accuracy (Rank),super_glue_wsc.fixed,67.30769348144531,1112000
112,xxl-lm-d4-all-og-091621,_Who_or_what_is_are,accuracy (Rank),super_glue_wsc.fixed,69.23076629638672,1112000
113,xxl-lm-d4-all-og-091621,_by_p_they_mean,accuracy (Rank),super_glue_wsc.fixed,64.42308044433594,1112000
114,xxl-lm-d4-all-og-091621,_does_p_stand_for,accuracy (Rank),super_glue_wsc.fixed,68.26923370361328,1112000
115,xxl-lm-d4-all-og-091621,_does_the_pronoun_refer_to,accuracy (Rank),super_glue_wsc.fixed,67.30769348144531,1112000
116,xxl-lm-d4-all-og-091621,_in_other_words,accuracy (Rank),super_glue_wsc.fixed,58.653846740722656,1112000
117,xxl-lm-d4-all-og-091621,_p_is_are_r,accuracy (Rank),super_glue_wsc.fixed,41.346153259277344,1112000
118,xxl-lm-d4-all-og-091621,_replaced_with,accuracy (Rank),super_glue_wsc.fixed,56.73077011108398,1112000
119,xxl-lm-d4-all-og-091621,_the_pronoun_refers_to,accuracy (Rank),super_glue_wsc.fixed,44.230770111083984,1112000
120,xxl-lm-d4-091621,_GPT_3_Style,accuracy (Rank),super_glue_wsc.fixed,63.46154022216797,1100000
121,xxl-lm-d4-091621,_I_think_they_mean,accuracy (Rank),super_glue_wsc.fixed,55.76922988891602,1100000
122,xxl-lm-d4-091621,_Who_is_are,accuracy (Rank),super_glue_wsc.fixed,,1100000
123,xxl-lm-d4-091621,_Who_or_what_is_are,accuracy (Rank),super_glue_wsc.fixed,63.46154022216797,1100000
124,xxl-lm-d4-091621,_by_p_they_mean,accuracy (Rank),super_glue_wsc.fixed,59.61538314819336,1100000
125,xxl-lm-d4-091621,_does_p_stand_for,accuracy (Rank),super_glue_wsc.fixed,52.88461685180664,1100000
126,xxl-lm-d4-091621,_does_the_pronoun_refer_to,accuracy (Rank),super_glue_wsc.fixed,,1100000
127,xxl-lm-d4-091621,_in_other_words,accuracy (Rank),super_glue_wsc.fixed,37.5,1100000
128,xxl-lm-d4-091621,_p_is_are_r,accuracy (Rank),super_glue_wsc.fixed,,1100000
129,xxl-lm-d4-091621,_replaced_with,accuracy (Rank),super_glue_wsc.fixed,61.53845977783203,1100000
130,xxl-lm-d4-091621,_the_pronoun_refers_to,accuracy (Rank),super_glue_wsc.fixed,38.46154022216797,1100000
131,xl-lm-d4-091621,_GPT_3_Style,accuracy (Rank),super_glue_wsc.fixed,60.57692337036133,1112000
132,xl-lm-d4-091621,_I_think_they_mean,accuracy (Rank),super_glue_wsc.fixed,69.23076629638672,1112000
133,xl-lm-d4-091621,_Who_is_are,accuracy (Rank),super_glue_wsc.fixed,,1112000
134,xl-lm-d4-091621,_Who_or_what_is_are,accuracy (Rank),super_glue_wsc.fixed,64.42308044433594,1112000
135,xl-lm-d4-091621,_by_p_they_mean,accuracy (Rank),super_glue_wsc.fixed,62.5,1112000
136,xl-lm-d4-091621,_does_p_stand_for,accuracy (Rank),super_glue_wsc.fixed,67.30769348144531,1112000
137,xl-lm-d4-091621,_does_the_pronoun_refer_to,accuracy (Rank),super_glue_wsc.fixed,68.26923370361328,1112000
138,xl-lm-d4-091621,_in_other_words,accuracy (Rank),super_glue_wsc.fixed,67.30769348144531,1112000
139,xl-lm-d4-091621,_p_is_are_r,accuracy (Rank),super_glue_wsc.fixed,62.5,1112000
140,xl-lm-d4-091621,_replaced_with,accuracy (Rank),super_glue_wsc.fixed,64.42308044433594,1112000
141,xl-lm-d4-091621,_the_pronoun_refers_to,accuracy (Rank),super_glue_wsc.fixed,64.42308044433594,1112000
400,xxl-lm-d4-091621-512,_Replace,accuracy (Rank),winogrande_winogrande_xl,56.1168098449707,1112200
401,xxl-lm-d4-091621-512,_does_underscore_refer_to,accuracy (Rank),winogrande_winogrande_xl,60.4577751159668,1112200
402,xxl-lm-d4-091621-512,_fill_in_the_blank,accuracy (Rank),winogrande_winogrande_xl,58.72138977050781,1112200
403,xxl-lm-d4-091621-512,_stand_for,accuracy (Rank),winogrande_winogrande_xl,60.77347946166992,1112200
404,xxl-lm-d4-091621-512,_underscore_refer_to,accuracy (Rank),winogrande_winogrande_xl,63.61483764648438,1112200
405,xxl-lm-d4-gpt-091621,_Replace,accuracy (Rank),winogrande_winogrande_xl,60.93133544921875,1112200
406,xxl-lm-d4-gpt-091621,_does_underscore_refer_to,accuracy (Rank),winogrande_winogrande_xl,61.72060012817383,1112200
407,xxl-lm-d4-gpt-091621,_fill_in_the_blank,accuracy (Rank),winogrande_winogrande_xl,60.69455337524414,1112200
408,xxl-lm-d4-gpt-091621,_stand_for,accuracy (Rank),winogrande_winogrande_xl,64.24625396728516,1112200
409,xxl-lm-d4-gpt-091621,_underscore_refer_to,accuracy (Rank),winogrande_winogrande_xl,65.11444091796875,1112200
410,xxl-lm-d4-all-091621,_Replace,accuracy (Rank),winogrande_winogrande_xl,64.40410614013672,1112000
411,xxl-lm-d4-all-091621,_does_underscore_refer_to,accuracy (Rank),winogrande_winogrande_xl,66.53512573242189,1112000
412,xxl-lm-d4-all-091621,_fill_in_the_blank,accuracy (Rank),winogrande_winogrande_xl,64.95658874511719,1112000
413,xxl-lm-d4-all-091621,_stand_for,accuracy (Rank),winogrande_winogrande_xl,66.69297790527344,1112000
414,xxl-lm-d4-all-091621,_underscore_refer_to,accuracy (Rank),winogrande_winogrande_xl,69.53433227539061,1112000
415,xxl-lm-d4-og-091621,_Replace,accuracy (Rank),winogrande_winogrande_xl,57.22178268432617,1112000
416,xxl-lm-d4-og-091621,_does_underscore_refer_to,accuracy (Rank),winogrande_winogrande_xl,56.03788375854492,1112000
417,xxl-lm-d4-og-091621,_fill_in_the_blank,accuracy (Rank),winogrande_winogrande_xl,62.98342514038086,1112000
418,xxl-lm-d4-og-091621,_stand_for,accuracy (Rank),winogrande_winogrande_xl,57.616416931152344,1112000
419,xxl-lm-d4-og-091621,_underscore_refer_to,accuracy (Rank),winogrande_winogrande_xl,56.66929626464844,1112000
420,xxl-lm-d4-all-og-091621,_Replace,accuracy (Rank),winogrande_winogrande_xl,59.98421478271485,1112000
421,xxl-lm-d4-all-og-091621,_does_underscore_refer_to,accuracy (Rank),winogrande_winogrande_xl,58.72138977050781,1112000
422,xxl-lm-d4-all-og-091621,_fill_in_the_blank,accuracy (Rank),winogrande_winogrande_xl,58.8003158569336,1112000
423,xxl-lm-d4-all-og-091621,_stand_for,accuracy (Rank),winogrande_winogrande_xl,58.16890335083008,1112000
424,xxl-lm-d4-all-og-091621,_underscore_refer_to,accuracy (Rank),winogrande_winogrande_xl,61.08918762207031,1112000
425,xxl-lm-d4-091621,_Replace,accuracy (Rank),winogrande_winogrande_xl,52.09155654907226,1100000
426,xxl-lm-d4-091621,_does_underscore_refer_to,accuracy (Rank),winogrande_winogrande_xl,49.40805053710938,1100000
427,xxl-lm-d4-091621,_fill_in_the_blank,accuracy (Rank),winogrande_winogrande_xl,,1100000
428,xxl-lm-d4-091621,_stand_for,accuracy (Rank),winogrande_winogrande_xl,49.09234237670898,1100000
429,xxl-lm-d4-091621,_underscore_refer_to,accuracy (Rank),winogrande_winogrande_xl,52.01262664794922,1100000
430,xl-lm-d4-091621,_Replace,accuracy (Rank),winogrande_winogrande_xl,52.48618698120117,1112000
431,xl-lm-d4-091621,_does_underscore_refer_to,accuracy (Rank),winogrande_winogrande_xl,49.25019836425781,1112000
432,xl-lm-d4-091621,_fill_in_the_blank,accuracy (Rank),winogrande_winogrande_xl,52.17048263549805,1112000
433,xl-lm-d4-091621,_stand_for,accuracy (Rank),winogrande_winogrande_xl,50.51302337646485,1112000
434,xl-lm-d4-091621,_underscore_refer_to,accuracy (Rank),winogrande_winogrande_xl,50.43409729003906,1112000
540,xxl-lm-d4-091621-512,_Replace,accuracy (Rank),winogrande_winogrande_debiased,56.1168098449707,1112200
541,xxl-lm-d4-091621-512,_does_underscore_refer_to,accuracy (Rank),winogrande_winogrande_debiased,60.4577751159668,1112200
542,xxl-lm-d4-091621-512,_fill_in_the_blank,accuracy (Rank),winogrande_winogrande_debiased,58.72138977050781,1112200
